HeronIsland-Salinity(practical salinity units),HeronIsland-Water Temperature(degrees celsius),HeronIsland-Water Pressure(decibar),LadyMusgrave-Water Temperature (degrees celsius)
35.6155,22.0694,5.6569,22.5064
35.6425,21.689,5.6538,22.2935
35.6214,22.1362,5.6547,22.2924
35.5729,22.4823,5.7041,22.5437
35.5725,22.4795,5.7469,22.4948
35.5777,22.4123,5.7803,22.6211
35.6088,21.9264,5.741,22.5712
35.6292,21.365,5.6868,22.0117
35.5703,22.3053,5.6582,22.1646
35.5251,22.8962,5.659,22.7687
35.5225,22.9876,5.6632,22.8546
35.5183,22.9916,5.6366,23.1419
35.5131,23.0233,5.6211,23.1186
35.5186,23.0435,5.6343,22.8688
35.5284,22.8833,5.6356,22.3876
35.5157,22.8785,5.6134,22.5426
35.5196,22.875,5.5701,22.5362
35.5396,22.6978,5.5616,22.4874
35.5641,22.3243,5.5416,22.3763
35.5448,22.6332,5.5739,22.5182
35.5036,23.0859,5.5777,22.7572
35.4939,23.2276,5.5844,22.8392
35.4581,23.4076,5.5885,22.931
35.4382,23.4249,5.6108,22.9953
35.451,23.226,5.6238,23.3537
35.5177,22.8151,5.6395,23.5195
35.5197,22.8375,5.6533,23.6438
35.5056,22.9315,5.649,23.7554
35.5932,22.572,5.622,23.7523
35.6162,22.3796,5.594,22.6767
35.6217,22.3485,5.5758,22.5708
35.619,22.3702,5.567,22.4123
35.6207,22.2666,5.5616,22.374
35.6209,22.2601,5.5599,22.3801
35.6109,22.3604,5.5775,22.3954
35.6343,22.1194,5.5733,22.346
35.6247,21.975,5.6047,22.2674
35.6036,21.8911,5.6373,22.1559
35.6026,21.7488,5.5872,22.0965
35.5695,22.4597,5.5497,22.7593
35.5439,22.6767,5.5668,22.8995
35.5446,22.6451,5.5836,22.8641
35.5323,22.6648,5.5835,22.845
35.5128,22.5668,5.57,22.8605
35.5367,22.2266,5.57,22.8453
35.5628,22.0049,5.5744,22.9107
35.5325,22.0706,5.5865,23.0173
35.5143,22.7752,5.5683,23.1727
35.6355,22.8239,5.5743,23.2525
35.5473,22.8894,5.5605,23.3064
35.5279,22.9497,5.5662,23.3455
35.5354,22.8714,5.5956,23.3702
35.5237,22.8717,5.6231,23.363
35.5141,22.9142,5.6818,23.4121
35.5027,22.923,5.6937,23.508
35.516,22.6564,5.6933,23.6112
35.5641,21.9236,5.7261,23.4886
35.5976,21.7462,5.7201,23.4202
35.5434,22.4971,5.6789,23.5277
35.5087,22.7647,5.6309,23.6017
35.5087,22.766,5.6166,23.5697
35.5004,22.8792,5.6125,23.5732
35.4843,23.015,5.6004,23.5567
35.4805,22.969,5.6215,23.5735
35.4825,22.842,5.6525,23.6428
35.5255,22.4536,5.7036,23.8443
35.5112,22.428,5.7292,23.844
35.4981,22.4314,5.7563,23.8421
35.4989,22.5275,5.7139,23.5386
35.5013,22.8424,5.6502,23.5464
35.4391,23.4307,5.6092,23.4336
35.4379,23.3271,5.6121,23.3453
35.4451,22.9132,5.6036,23.4558
35.3763,22.8415,5.597,23.545
35.4812,22.593,5.5873,23.3217
35.4061,23.0982,5.5765,23.3119
35.3777,23.2209,5.6113,23.1355
35.4846,23.1986,5.6429,22.9975
35.5398,22.8804,5.6343,23.0508
35.5539,22.6761,5.6332,22.9374
35.5895,22.3831,5.6542,22.9088
35.5891,22.6359,5.697,23.2529
35.5775,23.0088,5.7438,23.7805
35.5932,22.4825,5.7824,23.8341
35.6073,22.3896,5.7578,23.5268
35.5809,22.3089,5.719,23.5329
35.5594,22.4664,5.683,23.6742
35.5663,22.3378,5.635,23.8309
35.5138,23.5397,5.5784,24.2239
35.4801,24.0235,5.5567,24.3222
35.4615,24.1193,5.5225,24.3701
35.46,24.0056,5.5052,24.3936
35.4685,23.94,5.5703,24.413
35.4796,23.8632,5.6123,24.4959
35.4485,24.0577,5.6237,24.5902
35.4432,24.0133,5.6434,24.6474
35.4179,24.1013,5.6628,24.6995
35.3898,24.0796,5.6835,24.7278
35.3923,24.0859,5.6842,24.6917
35.3396,23.9645,5.6721,24.734
35.3242,24.0934,5.6894,24.6375
35.3616,24.0806,5.6838,24.6754
35.3507,24.6078,5.6598,24.7954
35.3307,24.6669,5.6527,24.8589
35.3241,24.6548,5.6664,24.9797
35.326,24.4161,5.7057,24.9842
35.3142,23.9462,5.7715,24.9083
35.4056,23.5827,5.7423,24.939
35.3984,23.5016,5.7354,25.1238
35.1704,23.5467,5.726,25.2183
35.3451,23.8953,5.7137,25.1351
35.3826,23.9567,5.7135,25.1341
35.4555,23.8695,5.7145,25.1967
