"HeronIsland.Salinity.practical.salinity.units." "HeronIsland.Water.Temperature.degrees.celsius." "HeronIsland.Water.Pressure.decibar." "LadyMusgrave.Water.Temperature..degrees.celsius."
"1" 35.7992 23.2593 5.5879 23.4397
"2" 35.1704 23.5467 5.726 25.2183
"3" 35.7789 23.2353 5.5065 22.9264
"4" 35.5641 21.9236 5.7261 23.4886
"5" 35.8302 27.0161 5.5615 26.8211
"6" 35.6646 21.5253 5.5145 22.1775
"7" 35.894 27.3521 5.6773 27.8964
"8" 35.6784 21.5936 5.5746 22.4187
"9" 35.6088 21.9264 5.741 22.5712
"10" 35.5087 22.766 5.6166 23.5697
"11" 35.7505 21.8009 5.8193 22.253
"12" 35.8584 27.9366 5.5516 28.4929
"13" 35.5197 22.8375 5.6533 23.6438
"14" 35.7675 26.1695 5.53 26.7749
"15" 35.9035 27.845 5.571 27.8852
"16" 35.6162 22.3796 5.594 22.6767
"17" 35.6956 21.8524 5.6665 21.7517
"18" 35.7523 27.1721 5.5648 27.0934
"19" 35.6651 22.2112 5.8537 23.4631
"20" 35.4421 24.1252 5.7382 25.4125
"21" 35.8076 27.6841 5.5918 27.2606
"22" 35.6229 26.6219 5.6894 26.445
"23" 35.5255 22.4536 5.7036 23.8443
"24" 35.7038 20.9654 5.6076 22.4138
"25" 35.7465 27.5496 5.7111 27.4388
"26" 35.7944 26.196 5.62 26.4997
"27" 35.7337 22.9108 5.4824 22.4776
"28" 35.5114 24.5264 5.6209 25.2649
"29" 35.4876 23.849 5.7571 25.3407
"30" 35.6697 27.3047 5.8481 27.5727
"31" 35.5976 21.7462 5.7201 23.4202
"32" 35.9034 27.7196 5.5137 27.7091
"33" 35.6214 22.1362 5.6547 22.2924
"34" 35.4801 24.0235 5.5567 24.3222
"35" 35.3599 27.073 5.7664 27.4131
"36" 35.5143 22.7752 5.5683 23.1727
"37" 35.5354 22.8714 5.5956 23.3702
"38" 35.8945 27.7089 5.5465 27.7231
"39" 35.4759 25.8027 5.9044 26.6682
"40" 35.8278 23.0977 5.6056 23.3146
"41" 35.6034 21.8301 5.6617 22.2165
"42" 35.4989 22.5275 5.7139 23.5386
"43" 35.7479 26.0126 5.3881 25.5316
"44" 35.4862 25.9154 5.7959 26.187
"45" 35.4071 27.3968 5.7621 27.4131
"46" 35.516 22.6564 5.6933 23.6112
"47" 35.4745 27.1937 5.7894 27.5566
"48" 35.7444 25.3147 5.5398 25.6632
"49" 35.7266 21.1662 5.4801 22.1088
"50" 35.8767 27.6724 5.5414 27.211
"51" 35.4476 25.403 5.7556 25.5055
"52" 35.6388 22.1178 5.4623 21.9475
"53" 35.8741 27.1521 5.5969 27.2383
"54" 35.6856 22.2848 5.4885 22.1617
"55" 35.7415 27.1223 5.5973 27.1169
"56" 35.4244 26.9243 5.8283 27.5161
"57" 35.6292 21.365 5.6868 22.0117
"58" 35.5663 22.3378 5.635 23.8309
"59" 35.4735 25.1238 5.7424 26.0404
"60" 35.6869 27.05 5.4301 26.6462
"61" 35.463 25.5421 5.7261 25.7465
"62" 35.4796 23.8632 5.6123 24.4959
"63" 35.526 25.8172 5.7202 26.1426
"64" 35.8582 23.7887 5.5611 25.0181
"65" 35.7315 27.2078 5.8798 26.8238
"66" 35.4998 25.8375 5.6954 26.2031
"67" 35.7727 27.3346 5.5921 27.7567
"68" 35.444 26.0263 5.8271 26.3064
"69" 35.5186 23.0435 5.6343 22.8688
"70" 35.77 22.7945 5.5214 22.7939
"71" 35.5108 25.9797 5.7135 26.1145
"72" 35.4342 25.917 5.6867 26.4474
"73" 35.8898 28.0917 5.4542 28.2587
"74" 35.9348 27.4595 5.6733 27.447
"75" 35.5234 24.5107 5.6454 25.1534
"76" 35.5367 22.2266 5.57 22.8453
"77" 35.8701 27.3752 5.6123 27.1752
