"HeronIsland.Salinity.practical.salinity.units." "HeronIsland.Water.Temperature.degrees.celsius." "HeronIsland.Water.Pressure.decibar." "LadyMusgrave.Water.Temperature..degrees.celsius."
"1" 35.8278 23.0977 5.6056 23.3146
"2" 35.3507 24.6078 5.6598 24.7954
"3" 35.6712 22.6859 5.4345 22.1403
"4" 35.7245 26.0145 5.8573 27.1818
"5" 35.4056 23.5827 5.7423 24.939
"6" 35.8739 26.2537 5.521 26.7603
"7" 35.5325 22.0706 5.5865 23.0173
"8" 35.3777 23.2209 5.6113 23.1355
"9" 35.7064 25.8166 5.387 25.5336
"10" 35.6441 26.9398 5.8012 27.5397
"11" 35.5108 25.9797 5.7135 26.1145
"12" 35.4701 27.3558 5.8779 27.3858
"13" 35.573 27.6585 5.7569 27.7377
"14" 35.661 21.6592 5.5711 21.6275
"15" 35.7992 23.2593 5.5879 23.4397
"16" 35.7757 26.2617 5.4028 25.7862
"17" 35.4745 27.1937 5.7894 27.5566
"18" 35.51 27.0595 5.8716 27.5123
"19" 35.4557 27.0424 5.7964 27.4996
"20" 35.4266 26.0236 5.8655 26.4841
"21" 35.6677 20.8084 5.585 22.009
"22" 35.5594 22.4664 5.683 23.6742
"23" 35.62 26.5391 5.4899 26.2637
"24" 35.8955 27.6862 5.5093 27.6816
"25" 35.4244 26.9243 5.8283 27.5161
"26" 35.7101 22.2151 5.473 22.0174
"27" 35.721 20.7964 5.5232 21.9018
"28" 35.9285 27.2971 5.6525 27.3869
"29" 35.9348 27.4595 5.6733 27.447
"30" 35.6697 27.3047 5.8481 27.5727
"31" 35.4216 24.8265 5.8474 25.6495
"32" 35.5351 27.5296 5.6159 27.9035
"33" 35.3396 23.9645 5.6721 24.734
"34" 35.711 20.9987 5.6096 22.0336
"35" 35.5932 22.4825 5.7824 23.8341
"36" 35.586 22.8204 5.7994 23.2807
"37" 35.6081 21.9 5.67 22.2006
"38" 35.5895 22.3831 5.6542 22.9088
"39" 35.7095 21.1951 5.5904 22.1663
"40" 35.3242 24.0934 5.6894 24.6375
"41" 35.5979 27.7754 5.7574 27.6149
"42" 35.734 26.8617 5.4467 26.5784
"43" 35.5121 24.6322 5.6618 25.1732
"44" 35.4801 24.0235 5.5567 24.3222
"45" 35.6551 26.8839 5.486 27.0162
"46" 35.694 26.7914 5.8478 27.2256
"47" 35.6899 25.1679 5.515 25.2465
"48" 35.4862 25.9154 5.7959 26.187
"49" 35.6719 21.6506 5.5377 22.4378
"50" 35.8076 27.7173 5.5211 27.4047
"51" 35.6795 21.5638 5.4464 21.5169
"52" 35.6599 25.2817 5.5115 25.1852
"53" 35.5186 23.0435 5.6343 22.8688
"54" 35.7971 23.3128 5.5092 23.3296
"55" 35.5216 24.9661 5.7525 26.1753
"56" 35.5234 24.5107 5.6454 25.1534
"57" 35.6355 22.8239 5.5743 23.2525
"58" 35.6662 22.8585 5.4826 22.5283
"59" 35.8741 27.1521 5.5969 27.2383
"60" 35.3898 24.0796 5.6835 24.7278
"61" 35.5947 27.0601 5.7819 27.5675
"62" 35.4735 25.1238 5.7424 26.0404
"63" 35.4421 24.1252 5.7382 25.4125
"64" 35.3892 27.3814 5.8572 27.236
"65" 35.7234 27.5103 5.7023 27.0108
"66" 35.6706 23.5674 5.551 24.0839
"67" 35.4646 27.1894 5.7784 27.5734
"68" 35.7419 27.2672 5.6889 27.074
"69" 35.7355 26.0576 5.4961 26.4484
"70" 35.7019 26.7307 5.8335 27.2353
"71" 35.6175 26.6625 5.4773 26.5021
"72" 35.3826 23.9567 5.7135 25.1341
"73" 35.7253 22.7717 5.4964 22.3341
"74" 35.9158 27.4718 5.6216 27.5107
"75" 35.925 27.1174 5.658 27.4435
"76" 35.474 27.1969 5.7883 27.6298
"77" 35.6229 26.6219 5.6894 26.445
"78" 35.6155 22.0694 5.6569 22.5064
"79" 35.8588 27.4711 5.5283 27.5668
"80" 35.4603 27.1002 5.786 27.5459
"81" 35.6904 24.6335 5.8111 24.6248
"82" 35.5092 21.0241 5.8033 21.9244
"83" 35.7263 27.1674 5.5833 27.1229
"84" 35.7505 21.8009 5.8193 22.253
"85" 35.6088 21.9264 5.741 22.5712
"86" 35.4564 25.8651 5.6791 25.7927
"87" 35.5539 22.6761 5.6332 22.9374
"88" 35.6162 22.3796 5.594 22.6767
"89" 35.8839 27.5261 5.4596 27.8687
"90" 35.5157 22.8785 5.6134 22.5426
"91" 35.9918 27.6828 5.5633 27.5438
"92" 35.7551 25.5055 5.7734 26.1391
"93" 35.8113 23.4944 5.5023 23.592
"94" 35.7073 22.2151 5.4903 22.0097
"95" 35.6991 26.1195 5.5149 26.4665
"96" 35.7944 26.196 5.62 26.4997
"97" 35.7415 27.1223 5.5973 27.1169
